ranking,nombre,n,porcentaje,porcentaje_acum,año,sexo
 34,LUCA,22, 0.69,51.69,2016,m
 43,LUCA,19, 0.56,58.98,2015,m
 79,LUCA,9, 0.26,71.10,2014,m
 79,LUCA,9, 0.26,72.17,2013,m
 92,LUCA,8, 0.20,75.67,2012,m
 96,LUCA,8, 0.20,77.85,2011,m
 105,LUCA,6, 0.14,80.92,2009,m
 4,LUCAS,88, 2.76,12.78,2016,m
 10,LUCAS,70, 2.07,25.50,2015,m
 5,LUCAS,90, 2.64,14.74,2014,m
 2,LUCAS,98, 2.88,5.93,2013,m
 8,LUCAS,90, 2.27,21.53,2012,m
 11,LUCAS,75, 1.85,29.64,2011,m
 8,LUCAS,85, 2.15,21.21,2010,m
 6,LUCAS,103, 2.42,17.54,2009,m
 11,LUCAS,84, 2.00,30.16,2008,m
 10,LUCAS,88, 2.14,27.75,2007,m
 16,LUCAS,60, 1.51,39.29,2006,m
 1,LUCIA,187, 5.02,5.02,2006,f
 1,LUCIA,189, 4.90,4.9,2007,f
 1,LUCIA,190, 4.59,4.59,2008,f
 2,LUCIA,150, 3.70,7.43,2009,f
 3,LUCIA,114, 2.99,9.51,2010,f
 3,LUCIA,110, 2.95,9.86,2011,f
 1,LUCIA,128, 3.50,3.5,2012,f
 1,LUCIA,98, 3.00,3,2013,f
 1,LUCIA,95, 2.98,2.98,2014,f
 1,LUCIA,83, 2.70,2.7,2015,f
 2,LUCIA,104,3.3,5.61,2016,f
 29,LUIS,28, 0.88,47.68,2016,m
 39,LUIS,20, 0.59,56.67,2015,m
 42,LUIS,20, 0.59,56.77,2014,m
 45,LUIS,20, 0.59,59.91,2013,m
 33,LUIS,31, 0.78,54.12,2012,m
 33,LUIS,30, 0.74,54.59,2011,m
 41,LUIS,25, 0.63,60.68,2010,m
 35,LUIS,31, 0.73,57.25,2009,m
 40,LUIS,25, 0.60,60.87,2008,m
 27,LUIS,37, 0.90,51.36,2007,m
 44,LUIS,21, 0.53,65.29,2006,m
 118,LUIS MANUEL,5, 0.12,82.49,2009,m
 116,LUJAN,5, 0.12,75.06,2009,f
 74,LUJAN,10, 0.27,68.02,2012,f
 94,LUJAN,5, 0.16,72.71,2014,f
 111,LUJAN,5, 0.16,72.52,2016,f
 65,LUNA,12, 0.32,67.62,2006,f
 65,LUNA,13, 0.34,67.5,2007,f
 72,LUNA,12, 0.29,67.33,2008,f
 85,LUNA,8, 0.20,70.25,2009,f
 77,LUNA,9, 0.24,67.82,2010,f
 103,LUNA,6, 0.16,74.12,2012,f
 89,LUNA,6, 0.19,71.86,2014,f
 75,LYDIA,10, 0.27,70.53,2006,f
 122,LYDIA,5, 0.12,76.43,2008,f
 76,LYDIA,9, 0.24,68.47,2011,f
 46,MAEL,16, 0.50,58.62,2016,m
 98,MAEL,6, 0.18,76.22,2015,m
 86,MAEL,8, 0.23,72.89,2014,m
 109,MAEL,5, 0.15,77.81,2013,m
 111,MAEL,6, 0.15,78.95,2012,m
 88,MAEL,9, 0.22,76.18,2011,m
 99,MAEL,6, 0.15,78.84,2010,m
 106,MAEL,6, 0.14,81.06,2009,m
 95,MALENA,7, 0.18,74.81,2007,f
 116,MALENA,5, 0.14,76.06,2012,f
 78,MALENA,7, 0.23,69.45,2015,f
 14,MANUEL,44, 1.38,31.64,2016,m
 14,MANUEL,55, 1.63,32.24,2015,m
 16,MANUEL,45, 1.32,34.41,2014,m
 17,MANUEL,43, 1.26,35.49,2013,m
 23,MANUEL,41, 1.03,45.10,2012,m
 22,MANUEL,45, 1.11,44.99,2011,m
 22,MANUEL,47, 1.19,44.59,2010,m
 24,MANUEL,47, 1.10,47.75,2009,m
 24,MANUEL,43, 1.02,47.80,2008,m
 18,MANUEL,56, 1.36,41.20,2007,m
 28,MANUEL,39, 0.98,53.83,2006,m
 76,MANUELA,10, 0.26,70.69,2007,f
 86,MANUELA,8, 0.20,70.44,2009,f
 68,MANUELA,11, 0.29,65.49,2010,f
 81,MANUELA,9, 0.25,69.82,2012,f
 58,MANUELA,10, 0.31,64.38,2013,f
 60,MANUELA,9, 0.28,65.31,2014,f
 49,MANUELA,14, 0.46,60.8,2015,f
 45,MANUELA,18, 0.57,53.95,2016,f
 83,MAR,8, 0.21,72.38,2006,f
 69,MAR,12, 0.31,68.77,2007,f
 98,MAR,7, 0.17,73,2008,f
 79,MAR,9, 0.22,69.06,2009,f
 100,MAR,7, 0.18,72.51,2010,f
 104,MAR,6, 0.16,74.28,2012,f
 55,MAR,11, 0.34,63.4,2013,f
 97,MAR,5, 0.16,73.18,2014,f
 112,MAR,5, 0.16,72.68,2016,f
 52,MARA,17, 0.46,62.74,2006,f
 49,MARA,17, 0.44,61.45,2007,f
 43,MARA,22, 0.53,56.27,2008,f
 39,MARA,25, 0.62,54.25,2009,f
 39,MARA,25, 0.66,52.44,2010,f
 44,MARA,19, 0.51,57.24,2011,f
 38,MARA,23, 0.63,53.71,2012,f
 44,MARA,21, 0.64,58.22,2013,f
 32,MARA,29, 0.91,49.22,2014,f
 26,MARA,33, 1.07,42.84,2015,f
 55,MARA,13, 0.41,58.51,2016,f
 19,MARCO,39, 1.22,38.10,2016,m
 25,MARCO,34, 1.01,46.11,2015,m
 31,MARCO,27, 0.79,49.36,2014,m
 28,MARCO,32, 0.94,47.78,2013,m
 21,MARCO,43, 1.08,43.00,2012,m
 37,MARCO,30, 0.74,57.48,2011,m
 36,MARCO,27, 0.68,57.46,2010,m
 48,MARCO,21, 0.49,65.05,2009,m
 42,MARCO,23, 0.55,61.99,2008,m
 46,MARCO,21, 0.51,64.86,2007,m
 64,MARCO,12, 0.30,73.27,2006,m
 20,MARCOS,36, 1.13,39.22,2016,m
 26,MARCOS,31, 0.92,47.03,2015,m
 21,MARCOS,36, 1.06,40.18,2014,m
 15,MARCOS,52, 1.53,32.76,2013,m
 18,MARCOS,55, 1.39,39.48,2012,m
 21,MARCOS,47, 1.16,43.88,2011,m
 17,MARCOS,63, 1.60,37.80,2010,m
 17,MARCOS,68, 1.60,38.97,2009,m
 26,MARCOS,42, 1.00,49.82,2008,m
 16,MARCOS,65, 1.58,38.30,2007,m
 19,MARCOS,55, 1.38,43.63,2006,m
 6,MARIA,97, 2.61,19.99,2006,f
 5,MARIA,91, 2.36,17.48,2007,f
 7,MARIA,97, 2.34,21.59,2008,f
 8,MARIA,83, 2.05,22.49,2009,f
 9,MARIA,69, 1.81,22.41,2010,f
 8,MARIA,76, 2.04,20.87,2011,f
 8,MARIA,75, 2.05,20.74,2012,f
 14,MARIA,45, 1.38,29.22,2013,f
 10,MARIA,62, 1.94,23.15,2014,f
 13,MARIA,46, 1.50,26.48,2015,f
 19,MARIA,41,1.3,33.79,2016,f
 99,MARIA DEL CARMEN,7, 0.17,73.17,2008,f
 11,MARINA,59, 1.59,30.57,2006,f
 17,MARINA,48, 1.25,37.46,2007,f
 21,MARINA,43, 1.04,40.18,2008,f
 20,MARINA,42, 1.04,38.47,2009,f
 16,MARINA,45, 1.18,31.66,2010,f
 17,MARINA,51, 1.37,34.92,2011,f
 14,MARINA,52, 1.42,30.45,2012,f
 20,MARINA,39, 1.20,36.85,2013,f
 24,MARINA,35, 1.10,41.37,2014,f
 16,MARINA,43, 1.40,30.74,2015,f
 24,MARINA,30, 0.95,38.67,2016,f
 9,MARIO,61, 1.91,24.12,2016,m
 12,MARIO,57, 1.69,28.96,2015,m
 15,MARIO,50, 1.47,33.09,2014,m
 16,MARIO,50, 1.47,34.22,2013,m
 16,MARIO,65, 1.64,36.63,2012,m
 17,MARIO,53, 1.31,39.12,2011,m
 21,MARIO,48, 1.22,43.40,2010,m
 18,MARIO,62, 1.46,40.42,2009,m
 19,MARIO,56, 1.33,42.23,2008,m
 17,MARIO,63, 1.54,39.84,2007,m
 13,MARIO,62, 1.56,34.69,2006,m
 25,MARTA,34, 0.91,47.07,2006,f
 19,MARTA,45, 1.17,39.82,2007,f
 27,MARTA,38, 0.92,45.74,2008,f
 12,MARTA,58, 1.43,28.89,2009,f
 26,MARTA,37, 0.97,42.4,2010,f
 27,MARTA,34, 0.91,45.93,2011,f
 42,MARTA,21, 0.57,56.06,2012,f
 30,MARTA,31, 0.95,47.24,2013,f
 43,MARTA,21, 0.66,57.81,2014,f
 69,MARTA,8, 0.26,67.34,2015,f
 38,MARTA,22, 0.70,49.76,2016,f
 1,MARTIN,141, 4.41,3.85,2016,m
 1,MARTIN,140, 4.14,4.14,2015,m
 1,MARTIN,128, 3.75,3.75,2014,m
 7,MARTIN,80, 2.35,18.90,2013,m
 7,MARTIN,97, 2.45,19.26,2012,m
 12,MARTIN,70, 1.72,31.36,2011,m
 14,MARTIN,72, 1.82,32.73,2010,m
 21,MARTIN,53, 1.24,44.34,2009,m
 23,MARTIN,46, 1.09,46.77,2008,m
 28,MARTIN,37, 0.90,52.27,2007,m
 26,MARTIN,43, 1.08,51.80,2006,m
 77,MARTINA,10, 0.26,70.95,2007,f
 39,MARTINA,24, 0.58,54.04,2008,f
 44,MARTINA,22, 0.54,57.04,2009,f
 35,MARTINA,28, 0.73,49.69,2010,f
 29,MARTINA,33, 0.89,47.7,2011,f
 21,MARTINA,41, 1.12,38.74,2012,f
 12,MARTINA,47, 1.44,26.52,2013,f
 9,MARTINA,64, 2.01,21.2,2014,f
 4,MARTINA,70, 2.28,9.73,2015,f
 4,MARTINA,78, 2.47,10.55,2016,f
 2,MATEO,106, 3.32,7.17,2016,m
 2,MATEO,105, 3.11,7.25,2015,m
 3,MATEO,93, 2.73,9.38,2014,m
 4,MATEO,94, 2.76,11.51,2013,m
 3,MATEO,111, 2.80,8.97,2012,m
 5,MATEO,120, 2.96,15.37,2011,m
 3,MATEO,113, 2.86,8.74,2010,m
 8,MATEO,98, 2.30,22.21,2009,m
 15,MATEO,64, 1.52,36.66,2008,m
 14,MATEO,74, 1.80,35.11,2007,m
 17,MATEO,59, 1.48,40.77,2006,m
 56,MATIAS,12, 0.38,62.72,2016,m
 88,MATIAS,7, 0.21,74.33,2015,m
 67,MATIAS,12, 0.35,67.56,2014,m
 58,MATIAS,12, 0.35,65.81,2013,m
 69,MATIAS,12, 0.30,70.36,2012,m
 58,MATIAS,14, 0.34,68.14,2011,m
 68,MATIAS,12, 0.30,72.23,2010,m
 66,MATIAS,15, 0.35,72.68,2009,m
 98,MATIAS,6, 0.14,78.55,2008,m
 99,MATIAS,7, 0.17,79.87,2007,m
 103,MATIAS,5, 0.13,81.11,2006,m
 79,MAURO,8, 0.25,69.61,2016,m
 52,MAURO,15, 0.44,63.50,2015,m
 69,MAURO,11, 0.32,68.23,2014,m
 57,MAURO,14, 0.35,66.60,2012,m
 81,MAURO,10, 0.25,74.60,2011,m
 100,MAURO,6, 0.15,79.00,2010,m
 67,MAURO,15, 0.35,73.03,2009,m
 99,MAURO,6, 0.14,78.70,2008,m
 100,MAURO,7, 0.17,80.04,2007,m
 82,MAURO,8, 0.20,77.74,2006,m
 117,MENCIA,5, 0.12,75.19,2009,f
 108,MENCIA,6, 0.16,73.85,2010,f
 89,MENCIA,7, 0.19,71.23,2011,f
 87,MENCIA,7, 0.22,68.05,2016,f
 61,MIA,9, 0.28,65.59,2014,f
 55,MIA,11, 0.36,63.27,2015,f
 46,MIA,17, 0.54,54.48,2016,f
 30,MIGUEL,28, 0.88,48.56,2016,m
 20,MIGUEL,44, 1.30,40.93,2015,m
 18,MIGUEL,42, 1.23,36.90,2014,m
 20,MIGUEL,42, 1.23,39.33,2013,m
 15,MIGUEL,67, 1.69,34.99,2012,m
 15,MIGUEL,64, 1.58,36.24,2011,m
 11,MIGUEL,76, 1.93,27.19,2010,m
 15,MIGUEL,69, 1.62,35.77,2009,m
 14,MIGUEL,66, 1.57,35.13,2008,m
 11,MIGUEL,80, 1.95,29.70,2007,m
 9,MIGUEL,87, 2.19,27.33,2006,m
 110,MIGUEL ANGEL,5, 0.15,78.02,2015,m
 121,MIGUEL ANGEL,5, 0.15,79.25,2014,m
 101,MIGUEL ANGEL,6, 0.15,79.15,2010,m
 107,MIGUEL ANGEL,6, 0.14,81.20,2009,m
 74,MIGUEL ANGEL,11, 0.26,73.96,2008,m
 58,MIGUEL ANGEL,15, 0.37,70.03,2007,m
 65,MIGUEL ANGEL,11, 0.28,73.55,2006,m
 102,MIKEL,6, 0.15,79.30,2010,m
 104,MIRANDA,6, 0.16,76.32,2007,f
 117,MIRANDA,5, 0.14,76.2,2012,f
 88,MIRANDA,7, 0.22,68.27,2016,f
 96,MIREYA,7, 0.18,74.99,2007,f
 90,MIREYA,8, 0.19,71.6,2008,f
 101,MIREYA,6, 0.16,73.33,2011,f
 80,MIRIAM,8, 0.21,71.74,2006,f
 60,MIRIAM,14, 0.36,65.76,2007,f
 78,MIRIAM,11, 0.27,68.97,2008,f
 118,MIRIAM,5, 0.12,75.31,2009,f
 123,MIRIAM,5, 0.13,76,2010,f
 77,MIRIAM,9, 0.24,68.71,2011,f
 105,MIRIAM,6, 0.16,74.45,2012,f
 89,MOISES,8, 0.19,78.47,2009,m
 97,MONICA,7, 0.18,75.18,2007,f
 91,MONICA,8, 0.19,71.79,2008,f
 78,MONICA,9, 0.24,68.06,2010,f
 94,NACHO,6, 0.19,72.71,2016,m
 93,NACHO,8, 0.20,75.88,2012,m
 103,NACHO,7, 0.17,79.13,2011,m
 81,NACHO,9, 0.23,75.75,2010,m
 85,NACHO,9, 0.21,77.70,2009,m
 84,NACHO,9, 0.21,76.29,2008,m
 75,NACHO,11, 0.27,75.22,2007,m
 118,NADAYA,5, 0.13,78.29,2007,f
 103,NADIA,5, 0.13,75.85,2006,f
 105,NADIA,6, 0.16,76.47,2007,f
 80,NADIA,10, 0.24,69.45,2008,f
 74,NADIA,10, 0.25,67.9,2009,f
 109,NADIA,6, 0.16,74,2010,f
 92,NADIA,7, 0.19,72.2,2012,f
 76,NADIA,7, 0.22,69.26,2014,f
 57,NADIA,10, 0.33,63.96,2015,f
 99,NADIA,6, 0.19,70.49,2016,f
 87,NAGORE,8, 0.21,70.02,2010,f
 123,NAHIA,5, 0.12,76.55,2008,f
 102,NAHIA,6, 0.16,73.49,2011,f
 78,NAIA,10, 0.26,71.21,2007,f
 100,NAIA,7, 0.17,73.34,2008,f
 88,NAIA,8, 0.21,70.23,2010,f
 66,NAIA,11, 0.30,65.89,2011,f
 54,NAIA,14, 0.38,61.59,2012,f
 69,NAIA,8, 0.25,67.44,2013,f
 75,NAIA,7, 0.22,69.04,2014,f
 79,NAIA,7, 0.23,69.68,2015,f
 63,NAIA,11, 0.35,61.43,2016,f
 81,NAIARA,8, 0.21,71.95,2006,f
 61,NAIARA,14, 0.36,66.12,2007,f
 68,NAIARA,13, 0.31,66.12,2008,f
 58,NAIARA,16, 0.40,63.31,2009,f
 40,NAIARA,24, 0.63,53.07,2010,f
 70,NAIARA,10, 0.27,66.96,2011,f
 88,NAIARA,8, 0.22,71.41,2012,f
 72,NAIARA,8, 0.25,68.18,2013,f
 65,NAIARA,8, 0.25,66.66,2014,f
 87,NAIARA,6, 0.20,71.31,2015,f
 113,NAIARA,5, 0.16,72.84,2016,f
 88,NAIRA,6, 0.20,71.5,2015,f
 44,NATALIA,18, 0.48,59.05,2006,f
 50,NATALIA,17, 0.44,61.89,2007,f
 44,NATALIA,22, 0.53,56.8,2008,f
 64,NATALIA,12, 0.30,65.26,2009,f
 69,NATALIA,11, 0.29,65.78,2010,f
 51,NATALIA,17, 0.46,60.57,2011,f
 55,NATALIA,14, 0.38,61.97,2012,f
 89,NATALIA,6, 0.18,71.74,2013,f
 101,NATALIA,5, 0.16,73.81,2014,f
 80,NATALIA,7, 0.23,69.91,2015,f
 89,NAYA,8, 0.21,70.44,2010,f
 93,NAYA,7, 0.19,72.39,2012,f
 124,NAYALA,5, 0.12,76.67,2008,f
 35,NAYARA,23, 0.62,54.46,2006,f
 36,NAYARA,24, 0.62,54.81,2007,f
 47,NAYARA,20, 0.48,58.34,2008,f
 38,NAYARA,27, 0.67,53.63,2009,f
 38,NAYARA,26, 0.68,51.78,2010,f
 37,NAYARA,23, 0.62,53.45,2011,f
 62,NAYARA,13, 0.36,64.46,2012,f
 62,NAYARA,10, 0.31,65.6,2013,f
 81,NAYARA,7, 0.22,70.36,2014,f
 89,NAYARA,6, 0.20,71.7,2015,f
 89,NAYARA,7, 0.22,68.49,2016,f
 114,NAYELI,5, 0.16,73,2016,f
 96,NAYRA,6, 0.16,74.83,2006,f
 125,NAYRA,5, 0.12,76.79,2008,f
 115,NAYRA,5, 0.16,73.15,2016,f
 104,NAZARET,6, 0.15,73.41,2009,f
 108,NEIZAN,5, 0.16,75.00,2016,m
 126,NEIZAN,5, 0.15,79.98,2014,m
 24,NEL,31, 0.97,43.20,2016,m
 29,NEL,29, 0.86,49.66,2015,m
 27,NEL,31, 0.91,46.01,2014,m
 34,NEL,26, 0.76,52.77,2013,m
 43,NEL,21, 0.53,60.45,2012,m
 39,NEL,29, 0.71,58.91,2011,m
 38,NEL,25, 0.63,58.75,2010,m
 53,NEL,19, 0.45,67.35,2009,m
 38,NEL,29, 0.69,59.60,2008,m
 39,NEL,26, 0.63,60.92,2007,m
 51,NEL,18, 0.45,68.73,2006,m
 106,NELA,6, 0.16,74.61,2012,f
 103,NELA,5, 0.15,74.16,2013,f
 74,NELA,7, 0.22,68.82,2014,f
 90,NELA,7, 0.22,68.72,2016,f
 10,NEREA,73, 1.96,28.99,2006,f
 20,NEREA,45, 1.17,40.99,2007,f
 13,NEREA,54, 1.30,31.18,2008,f
 24,NEREA,39, 0.96,42.42,2009,f
 17,NEREA,44, 1.15,32.81,2010,f
 21,NEREA,43, 1.15,39.78,2011,f
 25,NEREA,38, 1.04,43.01,2012,f
 37,NEREA,26, 0.80,53.25,2013,f
 40,NEREA,24, 0.75,55.74,2014,f
 47,NEREA,16, 0.52,59.86,2015,f
 36,NEREA,23, 0.73,48.37,2016,f
 76,NICO,9, 0.27,71.58,2015,m
 88,NICO,8, 0.23,73.36,2014,m
 122,NICO,5, 0.13,80.36,2012,m
 32,NICOLAS,27, 0.85,50.25,2016,m
 17,NICOLAS,51, 1.51,36.94,2015,m
 7,NICOLAS,82, 2.40,19.34,2014,m
 8,NICOLAS,75, 2.20,21.10,2013,m
 11,NICOLAS,79, 1.99,27.93,2012,m
 9,NICOLAS,95, 2.34,25.77,2011,m
 15,NICOLAS,70, 1.77,34.51,2010,m
 10,NICOLAS,93, 2.18,26.67,2009,m
 12,NICOLAS,72, 1.71,31.87,2008,m
 15,NICOLAS,66, 1.61,36.72,2007,m
 14,NICOLAS,62, 1.56,36.25,2006,m
 100,NICOLE,6, 0.19,70.68,2016,f
 54,NOA,16, 0.43,63.59,2006,f
 33,NOA,28, 0.73,52.84,2007,f
 28,NOA,38, 0.92,46.66,2008,f
 25,NOA,39, 0.96,43.38,2009,f
 19,NOA,43, 1.13,35.06,2010,f
 14,NOA,57, 1.53,30.65,2011,f
 12,NOA,57, 1.56,27.55,2012,f
 13,NOA,43, 1.32,27.84,2013,f
 12,NOA,47, 1.47,26.13,2014,f
 5,NOA,68, 2.21,11.94,2015,f
 13,NOA,43, 1.36,26.37,2016,f
 87,NOAH,7, 0.22,71.40,2016,m
 76,NOAH,10, 0.29,70.28,2014,m
 86,NOAH,8, 0.23,73.82,2013,m
 101,NOAH,7, 0.18,77.39,2012,m
 119,NOAH,5, 0.12,81.33,2011,m
 116,NOAH,5, 0.16,73.31,2016,f
 89,NOE,7, 0.21,74.53,2015,m
 102,NOE,6, 0.18,76.26,2014,m
 110,NOE,5, 0.15,77.96,2013,m
 82,NOE,10, 0.25,74.85,2011,m
 103,NOE,6, 0.15,79.45,2010,m
 113,NOE,5, 0.12,80.43,2008,m
 116,NOE,5, 0.12,82.21,2007,m
 72,NOEL,9, 0.28,67.79,2016,m
 67,NOEL,11, 0.33,69.00,2015,m
 95,NOEL,7, 0.21,74.91,2014,m
 87,NOEL,8, 0.23,74.05,2013,m
 112,NOEL,6, 0.15,79.10,2012,m
 89,NOEL,9, 0.22,76.40,2011,m
 114,NOEL,5, 0.12,80.55,2008,m
 87,NOEL,8, 0.19,77.70,2007,m
 58,NOEL,13, 0.33,71.39,2006,m
 38,NOELIA,19, 0.51,56.07,2006,f
 55,NOELIA,15, 0.39,63.94,2007,f
 60,NOELIA,15, 0.36,63.41,2008,f
 92,NOELIA,7, 0.17,71.56,2009,f
 64,NOELIA,12, 0.31,64.31,2010,f
 52,NOELIA,17, 0.46,61.03,2011,f
 84,NOELIA,6, 0.19,70.92,2014,f
 106,NOEMI,6, 0.16,76.63,2007,f
 92,NOEMI,8, 0.19,71.99,2008,f
 93,NOEMI,7, 0.17,71.73,2009,f
 110,NOEMI,6, 0.16,74.16,2010,f
 103,NOEMI,6, 0.16,73.65,2011,f
 94,NOEMI,7, 0.19,72.59,2012,f
 72,NOEMI,7, 0.22,68.38,2014,f
 40,NORA,19, 0.51,57.09,2006,f
 38,NORA,23, 0.60,56.01,2007,f
 32,NORA,31, 0.75,49.79,2008,f
 40,NORA,24, 0.59,54.84,2009,f
 20,NORA,43, 1.13,36.19,2010,f
 35,NORA,26, 0.70,52.22,2011,f
 19,NORA,42, 1.15,36.47,2012,f
 22,NORA,37, 1.13,39.15,2013,f
 14,NORA,45, 1.41,28.98,2014,f
 33,NORA,28, 0.91,49.64,2015,f
 31,NORA,25, 0.79,44.63,2016,f
 48,NURIA,17, 0.46,60.91,2006,f
 62,NURIA,14, 0.36,66.49,2007,f
 40,NURIA,24, 0.58,54.62,2008,f
 68,NURIA,11, 0.27,66.35,2009,f
 56,NURIA,16, 0.42,61.56,2010,f
 90,NURIA,7, 0.19,71.42,2011,f
 63,NURIA,13, 0.36,64.82,2012,f
 87,NURIA,6, 0.19,71.49,2014,f
 80,NURIA,8, 0.25,66.4,2016,f
 94,OLAI,8, 0.20,76.08,2012,m
 82,OLAI,9, 0.23,75.98,2010,m
 95,OLAI,7, 0.16,79.48,2009,m
 69,OLAI,12, 0.29,72.63,2008,m
 101,OLAI,7, 0.17,80.21,2007,m
 16,OLAYA,49, 1.32,37.51,2006,f
 25,OLAYA,41, 1.06,46.43,2007,f
 30,OLAYA,33, 0.80,48.27,2008,f
 16,OLAYA,50, 1.23,34.02,2009,f
 25,OLAYA,38, 1.00,41.43,2010,f
 24,OLAYA,40, 1.07,43.06,2011,f
 27,OLAYA,36, 0.98,45.01,2012,f
 35,OLAYA,27, 0.83,51.62,2013,f
 28,OLAYA,31, 0.97,45.45,2014,f
 58,OLAYA,10, 0.33,64.28,2015,f
 56,OLAYA,13, 0.41,58.92,2016,f
 119,OLGA,5, 0.13,78.42,2007,f
 111,OLGA,6, 0.16,74.32,2010,f
 117,OLGA,5, 0.16,73.47,2016,f
 35,OLIVER,21, 0.66,52.35,2016,m
 48,OLIVER,17, 0.50,61.64,2015,m
 40,OLIVER,21, 0.62,55.60,2014,m
 50,OLIVER,17, 0.50,62.52,2013,m
 58,OLIVER,14, 0.35,66.95,2012,m
 55,OLIVER,16, 0.39,67.04,2011,m
 83,OLIVER,9, 0.23,76.21,2010,m
 86,OLIVER,9, 0.21,77.91,2009,m
 70,OLIVER,12, 0.29,72.91,2008,m
 117,OLIVER,5, 0.12,82.33,2007,m
 90,OLIVIA,8, 0.21,70.65,2010,f
 82,OLIVIA,8, 0.21,69.86,2011,f
 44,OLIVIA,20, 0.55,57.15,2012,f
 49,OLIVIA,16, 0.49,60.97,2013,f
 33,OLIVIA,28, 0.88,50.09,2014,f
 38,OLIVIA,25, 0.81,53.9,2015,f
 25,OLIVIA,29, 0.92,39.59,2016,f
 109,OMAR,5, 0.16,75.16,2016,m
 81,OMAR,8, 0.24,72.76,2015,m
 89,OMAR,8, 0.23,73.59,2014,m
 96,OMAR,6, 0.18,75.84,2013,m
 60,OMAR,13, 0.33,67.61,2012,m
 63,OMAR,13, 0.32,69.75,2011,m
 60,OMAR,15, 0.38,69.62,2010,m
 64,OMAR,17, 0.40,71.95,2009,m
 86,OMAR,8, 0.19,76.67,2008,m
 83,OMAR,8, 0.20,77.95,2006,m
 66,OSCAR,10, 0.31,66.07,2016,m
 82,OSCAR,8, 0.24,73.00,2015,m
 59,OSCAR,13, 0.38,64.62,2014,m
 52,OSCAR,16, 0.47,63.46,2013,m
 54,OSCAR,16, 0.40,65.44,2012,m
 56,OSCAR,16, 0.39,67.43,2011,m
 49,OSCAR,20, 0.51,65.14,2010,m
 43,OSCAR,25, 0.59,62.39,2009,m
 45,OSCAR,22, 0.52,63.56,2008,m
 40,OSCAR,26, 0.63,61.55,2007,m
 37,OSCAR,29, 0.73,61.42,2006,m
 7,PABLO,71, 2.22,20.18,2016,m
 5,PABLO,78, 2.31,14.88,2015,m
 4,PABLO,93, 2.73,12.10,2014,m
 5,PABLO,89, 2.61,14.12,2013,m
 4,PABLO,106, 2.67,11.65,2012,m
 2,PABLO,128, 3.15,6.36,2011,m
 2,PABLO,115, 2.91,5.88,2010,m
 1,PABLO,149, 3.50,3.50,2009,m
 1,PABLO,144, 3.43,3.43,2008,m
 3,PABLO,129, 3.14,9.48,2007,m
